  ILM8601240523.TEN
    565.32   0    -12.31   0      1.00   0     18.49   0     -5.34   0     4706.   34.2154  -77.8753    -58.33
    561.55   0    -12.51   0      1.00   0     18.36   0     -3.11   0     4757.   34.2150  -77.8732    -58.46
    558.10   0    -12.69   0      1.00   0     18.19   0     -1.59   0     4804.   34.2148  -77.8713    -58.58
    554.87   0    -12.89   0      1.00   0     17.07   0     -0.78   0     4849.   34.2147  -77.8693    -58.71
    551.36   0    -13.11   0      1.00   0     17.16   1     -0.13   1     4897.   34.2146  -77.8675    -58.86
    548.21   0    -13.35   0      1.00   0     16.02   1      2.01   1     4941.   34.2147  -77.8657    -59.01
    545.51   0    -13.61   0      1.00   0     13.86   1      3.93   1     4978.   34.2150  -77.8641    -59.18
    542.46   0    -13.88   0      1.00   0     16.06   0      1.44   0     5021.   34.2152  -77.8624    -59.36
    539.08   0    -14.26   0      1.00   0     15.60   0      1.57   0     5068.   34.2153  -77.8607    -59.61
    535.04   0    -14.78   0      1.00   0     16.38   0      0.90   0     5125.   34.2155  -77.8590    -59.95
    531.23   0    -15.32   0      1.00   0     17.61   0     -0.10   0     5179.   34.2155  -77.8571    -60.31
    528.60   0    -15.65   0      1.00   0     18.31   0     -1.88   0     5217.   34.2154  -77.8552    -60.52
    525.66   0    -16.00   0      1.00   0     17.49   0     -0.54   0     5259.   34.2153  -77.8532    -60.75
    522.66   0    -16.36   0      1.00   0     18.38   0     -0.35   0     5302.   34.2153  -77.8513    -60.99
    519.96   0    -16.68   0      1.26   0     18.53   0     -0.27   0     5340.   34.2152  -77.8493    -59.37
    517.19   0    -17.04   0      1.77   0     18.75   0     -0.58   0     5381.   34.2152  -77.8472    -56.84
    514.24   0    -17.45   0      2.00   0     20.80   0     -3.22   0     5423.   34.2150  -77.8451    -56.14
    511.31   0    -17.85   0      2.00   0     19.14   0     -1.89   0     5466.   34.2148  -77.8429    -56.41
    508.39   0    -18.27   0      2.00   0     17.49   0      0.88   0     5509.   34.2147  -77.8409    -56.71
    505.71   0    -18.66   0      2.00   0     17.89   0      0.28   0     5548.   34.2148  -77.8390    -56.98
    502.96   0    -19.01   0      2.00   0     18.12   0     -0.20   0     5589.   34.2148  -77.8370    -57.23
    500.06   0    -19.38   0      1.80   1     19.78   0     -0.96   0     5632.   34.2148  -77.8350    -58.35
    497.13   0    -19.75   0      1.83   0     19.44   0     -1.15   0     5675.   34.2147  -77.8328    -58.46
    494.46   0    -20.08   0      2.00   0     19.90   0     -1.76   0     5715.   34.2145  -77.8307    -57.98
    491.34   0    -20.50   0      2.14   0     20.81   0     -2.08   0     5762.   34.2144  -77.8285    -57.72
    487.88   0    -21.02   0      2.33   1     21.03   0     -2.86   0     5814.   34.2141  -77.8262    -57.38
    485.07   0    -21.44   0      2.67   0     20.97   0     -2.56   0     5857.   34.2139  -77.8239    -56.58
    481.57   0    -21.89   0      3.52   1     20.80   8     -3.01   8     5910.   34.2136  -77.8217    -54.62
    477.96   0    -22.37   0      4.81   0     20.64   0     -3.47   0     5966.   34.2133  -77.8194    -52.33
    475.45   0    -22.64   0      7.94   0     21.87   0     -5.56   0     6004.   34.2129  -77.8171    -48.14
    472.84   0    -22.89   0     10.63   1     20.88   0     -4.15   0     6045.   34.2125  -77.8148    -45.69
    470.19   0    -23.17   0     12.22   1     22.61   0     -4.74   1     6086.   34.2121  -77.8124    -44.63
    467.58   0    -23.45   0     12.37   1     22.15   0     -4.65   0     6126.   34.2117  -77.8100    -44.75
    464.94   0    -23.71   0     10.69   1     20.66   1     -4.46   0     6168.   34.2113  -77.8077    -46.31
    462.10   0    -23.96   0     10.08   1     22.27   1     -5.82   1     6213.   34.2108  -77.8053    -47.05
    459.28   0    -24.25   0     10.75   0     21.57   1     -5.55   1     6257.   34.2103  -77.8029    -46.69
    456.01   0    -24.68   0     12.80   1     22.42   1     -5.88   1     6309.   34.2098  -77.8006    -45.45
    452.32   0    -25.22   0     16.02   0     23.10   1     -6.87   1     6368.   34.2092  -77.7981    -43.83
    449.30   0    -25.69   0     18.41   1     19.72   1     -2.44   1     6417.   34.2088  -77.7958    -42.92
    446.61   0    -26.05   0     20.23   1     19.29   1     -0.93   1     6460.   34.2086  -77.7936    -42.34
