 #
 # Data Type:                         ULOWELL 10 SECOND DATA
 # Project ID:                        TDWR - ORL (UND)
 # Launch Site Type:                  FIXED
 # Site ID:                           LWL
 # Launch Location (lon,lat,alt(m)):  -46.41 16.23  25.
 # GMT Launch Time (m,d,y,h,m,s):     08/05/1991 19:46:00
 # Sonde Type/ID/Sensor ID/Tx Freq:   VAISALA RS80
 # Met Processor/Met Smoothing:       VAISALA PP-11, 10 SECONDS
 # Winds Type/Processor/Smoothing:    LORAN-C, NORTHSTAR 800, 20 SECONDS
 # Pre-launch Surface Obs Source:     SONDE SENSORS
 # Comments:
 # weather ovc-bkn skies with good ground signal and inital data......             
 # ....loran lost in flight from approx 500mb to 250mb....wind data                
 # will be lost for that layer.                                                    
 # Signal noisy from 400mb to the top.                                             
 #                                                                                 
 #
 # Time  Press  Temp  Dewpt  RH    Uwind  Vwind  Wspd  Dir   dZ       Lon       Lat    Rng    Ang    Alt    Qp   Qt   Qh   Qu   Qv
 #  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg       deg     km    deg     m     mb   C    %   m/s  m/s
 # ____ ______ _____ ______ ____  ______ ______ _____ _____ _____ _________ _________ _____ ______ ______ ____ ____ ____ ____ ____
 1470.0  318.0 -24.1 -27.3  75.0     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 59.3  0.4  1.5  0.0  0.0
 1480.0  337.7 -24.7 -28.0  74.1     0.0    0.0   0.0 180.0  7.2    0.00000   0.00000 999.0 109.3  8890.9  1.4  0.2  0.3  0.0  0.0
 1490.0  334.8 -25.2 -28.4  73.7     0.0    0.0   0.0 180.0  6.2    0.00000   0.00000 999.0 109.3  8953.4  1.1  0.2  0.5  0.0  0.0
 1500.0  332.1 -25.6 -29.1  73.0     0.0    0.0   0.0 180.0  5.9    0.00000   0.00000 999.0 109.3  9012.1  0.8  0.2  0.0  0.0  0.0
 1510.0  330.3 -26.0 -29.4  73.0     0.0    0.0   0.0 180.0  3.9    0.00000   0.00000 999.0 109.3  9050.9  0.8  0.1  0.0  0.0  0.0
 1520.0  325.3 -26.8 -30.4  71.8     0.0    0.0   0.0 180.0 11.1    0.00000   0.00000 999.0 109.3  9162.0  2.0  0.4  0.7  0.0  0.0
 1530.0  321.6 -27.5 -31.1  71.0     0.0    0.0   0.0 180.0  8.1    0.00000   0.00000 999.0 109.3  9243.4  1.0  0.2  0.0  0.0  0.0
 1540.0  318.5 -28.0 -31.6  71.0     0.0    0.0   0.0 180.0  7.0    0.00000   0.00000 999.0 109.3  9313.0  0.9  0.2  0.0  0.0  0.0
 1550.0  315.7 -28.5 -32.4  70.1     0.0    0.0   0.0 180.0  6.3    0.00000   0.00000 999.0 109.3  9376.4  1.0  0.2  0.3  0.0  0.0
 1560.0  297.4 -29.1 -32.9  70.0     0.0    0.0   0.0 180.0 99.0    0.00000   0.00000 999.0 109.3 99999.0 36.4  0.2  0.0  0.0  0.0
 1570.0  309.2 -29.5 -33.3  70.0   999.0  999.0 999.0 109.3  7.5  -63.15235  22.10390 999.0 290.7  9526.5  0.9  0.1  0.0 99.0 99.0
 1580.0  306.2 -29.9 -33.7  69.4   999.0  999.0 999.0 109.3  6.9  -81.19678  28.41904 999.0 291.7  9595.1  1.0  0.1  0.5 99.0 99.0
 1590.0  303.0 -30.2 -34.1  68.9    -7.3   -1.2  14.3  80.3  7.4  -81.19752  28.41892 999.0 291.7  9669.6  1.0  0.1  0.3  0.8  1.5
 1600.0  333.9 -26.2 -33.7  49.0    -7.4   -1.0  14.5  82.0 99.0  -81.19827  28.41883 999.0 291.7 99999.0 63.9 10.3 35.0  0.8  0.9
 1610.0  320.0 -27.1 -33.6  53.9    -8.7   -0.4  16.9  87.4 99.0  -81.19917  28.41879 999.0 291.7 99999.0 66.7 10.6 34.6  1.3  0.7
 1620.0  311.0 -29.0 -34.5  58.2   -10.7   -1.4  20.9  82.5 99.0  -81.20026  28.41867 999.0 291.7 99999.0 34.5  5.8 19.6  0.8  0.7
 1630.0  278.4 -34.7 -37.9  71.7   -12.0   -1.7  23.4  82.1 99.0  -81.20148  28.41852 999.0 291.7 99999.0 29.9  5.2 13.2  1.3  0.6
 1640.0  322.2 -28.6 -35.1  53.5    -8.5    0.4  16.6  92.8 99.0  -81.20236  28.41856 999.0 291.7 99999.0 88.9 15.0 42.1  1.0  1.2
 1650.0  285.0 -33.6 -38.0  64.3    -9.4    0.6  18.3  93.8  7.2  -81.20332  28.41861 999.0 291.7 10102.4  1.0  0.2  0.5  0.7  0.9
 1660.0  282.4 -34.1 -38.5  64.3    -8.7   -1.2  17.0  81.9  6.4  -81.20419  28.41850 999.0 291.7 10166.2  1.1  0.2  1.2  0.8  0.9
 1670.0  282.3 -34.3 -39.2  61.2    -8.5   -1.4  16.7  80.4 99.0  -81.20507  28.41837 999.0 291.7 99999.0  6.5  1.1  4.1  1.0  0.8
 1680.0  276.5 -35.2 -39.8  62.6   -10.0   -2.0  19.8  78.4  7.4  -81.20609  28.41819 999.0 291.7 10313.5  1.1  0.2  0.5  2.2  0.6
 1690.0  273.8 -35.7 -40.5  61.8    -8.5   -3.7  18.0  66.4  6.9  -81.20696  28.41785 999.0 291.7 10382.3  0.8  0.2  0.4  3.8  1.5
 1700.0  270.4 -36.4 -41.2  61.0   -12.9   -3.5  25.9  74.8  8.7  -81.20828  28.41754 999.0 291.7 10469.6  1.2  0.2  0.0  2.1  1.4
 1710.0  269.4 -36.7 -41.7  59.4   -10.1   -0.4  19.7  87.7 99.0  -81.20931  28.41750 999.0 291.7 99999.0  4.3  0.8  2.7  0.7  0.8
 1720.0  274.5 -35.9 -41.9  54.0   -10.1   -1.7  19.9  80.7 99.0  -81.21036  28.41735 999.0 291.7 99999.0 23.7  4.0 21.9  1.3  1.1
 1730.0  262.0 -38.2 -43.2  59.6    -8.4   -3.1  17.3  69.7  7.3  -81.21120  28.41707 999.0 291.7 10688.7  0.9  0.4  0.5  1.2  0.9
 1740.0  258.8 -38.9 -43.8  59.0   -10.1   -4.1  21.2  67.8  8.3  -81.21224  28.41671 999.0 291.7 10771.7  1.1  0.2  0.0  0.7  0.8
 1750.0  255.8 -39.5 -44.5  59.3    -9.2   -2.1  18.4  77.4  8.1  -81.21319  28.41652 999.0 291.7 10853.1  0.9  0.2  2.8  1.1  1.1
 1760.0  253.0 -40.1 -45.3  58.0   -12.3   -6.2  26.8  63.4  7.4  -81.21445  28.41596 999.0 291.7 10927.2  1.0  0.2  0.0  1.4  0.9
 1770.0  260.3 -38.9 -45.4  50.1   -10.9   -7.4  25.5  55.7 99.0  -81.21555  28.41529 999.0 291.7 99999.0 25.1  4.3 19.2  0.8  0.9
 1780.0  246.5 -41.4 -46.4  58.6   -10.1   -6.4  23.2  57.8  8.9  -81.21658  28.41472 999.0 291.7 11105.6  2.5  0.6  1.4  0.7  0.9
 1790.0  244.8 -41.7 -46.7  57.7    -8.9   -6.2  20.9  55.2  4.6  -81.21750  28.41417 999.0 291.7 11151.3  0.8  0.2  0.5  1.1  1.7
 1800.0  242.3 -42.1 -47.3  57.0   -10.0   -6.2  22.8  58.3  6.9  -81.21851  28.41361 999.0 291.7 11220.3  1.0  0.1  0.0  1.6  2.0
 1810.0  237.7 -42.8 -47.8  57.9    -9.6   -7.6  23.8  51.5 99.0  -81.21950  28.41293 999.0 291.7 99999.0  4.5  1.0  3.4  1.4  1.1
 1820.0  236.9 -43.0 -48.4  55.3    -8.9   -6.4  21.2  54.3  7.7  -81.22041  28.41235 999.0 291.7 11373.5  1.0  0.2  0.7  0.8  0.9
 1830.0  234.0 -43.7 -49.3  53.9   -12.6   -4.7  26.2  69.4  8.3  -81.22171  28.41193 999.0 291.7 11456.4  0.9  0.2  0.3  1.3  1.3
 1840.0  231.1 -44.5 -50.0  54.0   -13.2   -4.5  27.1  71.1  8.3  -81.22305  28.41152 999.0 291.7 11539.2  1.0  0.3  0.0  1.2  1.5
 1850.0  228.2 -45.3 -49.8  59.6    -9.4   -6.2  21.8  56.7  8.6  -81.22403  28.41096 999.0 291.7 11625.3  1.0  0.2 14.1  1.0  0.9
 1860.0  225.1 -46.0 -51.6  53.4   -10.1   -7.2  24.1  54.6  9.0  -81.22506  28.41032 999.0 291.7 11715.7  1.0  0.3  0.5  0.7  1.3
 1870.0  221.9 -46.9 -52.5  53.0    -9.2  -10.7  27.4  40.9  9.5  -81.22599  28.40935 999.0 291.7 11810.3  1.0  0.2  0.0  0.8  0.8
 1880.0  219.0 -47.6 -53.2  53.0    -9.1   -9.1  24.9  45.0  8.7  -81.22693  28.40854 999.0 291.7 11897.8  0.9  0.2  0.0  0.8  0.6
 1890.0  216.0 -48.4 -53.9  52.9    -7.6   -9.1  23.0  40.0  9.2  -81.22771  28.40772 999.0 291.7 11989.6  1.0  0.2  0.3  0.8  0.6
 1900.0  212.9 -49.1 -54.6  52.0    -7.1   -8.0  20.8  41.4  9.3  -81.22842  28.40700 999.0 291.7 12082.5  1.0  0.3  0.0  0.8  0.9
 1910.0  209.9 -50.0 -55.7  50.9    -5.4   -7.4  17.8  36.2  9.4  -81.22899  28.40633 999.0 291.7 12176.8  1.0  0.3  0.6  0.8  0.0
 1920.0  206.9 -50.7 -56.5  50.0    -6.7   -8.6  21.2  37.8  9.3  -81.22967  28.40556 999.0 291.7 12269.3  0.9  0.2  0.0  0.9  0.9
 1930.0  203.7 -51.3 -57.0  50.0    -5.8   -5.6  15.6  46.2 10.2  -81.23026  28.40505 999.0 291.7 12371.7  1.7  0.2  0.0  1.1  1.2
 1940.0  200.7 -52.0 -58.0  49.1    -7.2   -7.2  19.8  45.1  9.6  -81.23100  28.40441 999.0 291.7 12467.5  0.7  0.3  0.3  0.8  1.6
 1950.0  198.3 -52.8 -58.7  48.3   -10.0   -9.1  26.1  47.7  8.0  -81.23202  28.40359 999.0 291.7 12547.1  0.9  0.2  0.5  0.9  1.6
 1960.0  195.3 -53.6 -59.8  47.5    -6.3   -3.9  14.5  58.3  9.6  -81.23267  28.40324 999.0 291.7 12643.1  1.1  0.3  0.5  0.9  1.1
 1970.0  192.9 -54.3 -60.5  47.0    -4.5   -3.5  11.1  52.2  8.1  -81.23312  28.40292 999.0 291.7 12723.8  0.8  0.2  0.0  1.0  1.4
 1980.0  190.2 -55.1 -61.3  46.1    -7.9   -6.0  19.3  53.1  8.8  -81.23394  28.40239 999.0 291.7 12812.0  0.9  0.3  0.3  1.4  1.2
 1990.0  187.4 -56.3 -62.5  45.4    -8.2   -6.8  20.5  50.4  9.7  -81.23477  28.40178 999.0 291.7 12909.4  0.9  0.6  0.5  0.8  0.9
 2000.0  184.5 -57.0 -63.5  43.9    -8.5   -7.2  21.7  49.8  9.6  -81.23565  28.40113 999.0 291.7 13005.3  0.9  0.3  0.6  1.0  0.6
 2010.0  181.8 -57.7 -64.5  41.7    -7.1   -6.2  18.2  48.8  9.3  -81.23637  28.40057 999.0 291.7 13098.5  0.8  0.2  0.7  1.1  0.9
 2020.0  179.2 -58.6 -65.5  40.0   -10.1   -8.7  25.9  49.5  9.3  -81.23741  28.39979 999.0 291.7 13191.2  0.8  0.3  0.5  0.7  0.9
 2030.0  175.6 -59.7 -66.6  39.7   -10.1   -7.8  24.8  52.3 12.8  -81.23843  28.39909 999.0 291.7 13319.4  2.7  0.6  1.7  0.7  0.8
 2040.0  173.9 -60.2 -67.6  38.1    -9.4   -8.9  25.1  46.8  6.0  -81.23941  28.39829 999.0 291.7 13379.1  0.6  0.2 99.0  0.7  1.2
 2050.0  171.7 -60.7 -67.8  38.0   -11.2   -8.8  27.7  51.9  8.0  -81.24056  28.39750 999.0 291.6 13459.5  0.8  0.2 99.0  0.5  1.5
 2060.0  169.0 -61.7 -69.0  37.3    -8.5   -5.4  19.5  57.8  9.8  -81.24143  28.39702 999.0 291.6 13557.4  0.9  0.3 99.0  2.1  2.5
 2070.0  166.9 -62.3 -69.4  37.5    -3.4   -2.1   7.7  58.8  7.6  -81.24177  28.39683 999.0 291.6 13633.7  0.8  0.3 99.0  0.9  0.6
 2080.0  164.6 -62.9 -70.2  36.3    -3.8   -2.0   8.4  61.7  8.4  -81.24216  28.39665 999.0 291.6 13718.0  1.0  0.3 99.0  1.7  1.0
 2090.0  160.3 -63.5 -71.0  35.6    -7.6   -4.1  16.8  61.6 99.0  -81.24295  28.39628 999.0 291.6 99999.0  5.2  0.3 99.0  0.8  1.5
 2100.0  156.5 -65.8 -72.2  40.3    -9.2   -9.1  25.1  45.5 99.0  -81.24388  28.39546 999.0 291.6 99999.0  8.0  3.8 99.0  0.8  1.1
 2110.0  157.4 -65.1 -72.8  34.0   -11.8  -10.5  30.6  48.3  9.2  -81.24509  28.39452 999.0 291.6 13995.2  0.8  0.3 99.0  1.0  0.9
 2120.0  136.6 -69.6 -73.1  61.0    -9.1   -7.6  22.9  50.0 99.0  -81.24602  28.39383 999.0 291.6 99999.0 49.6 10.5 99.0  1.6  1.4
 2130.0  152.9 -66.4 -74.1  33.3    -6.7   -8.6  21.2  37.8  8.7  -81.24670  28.39306 999.0 291.6 14168.5  0.7  0.3 99.0  0.9  1.8
 2140.0  139.9 -69.2 -74.9  42.9    -8.0   -8.7  22.8  42.7 99.0  -81.24752  28.39228 999.0 291.6 99999.0 25.0  5.3 99.0  2.6  1.2
 2150.0  148.8 -67.6 -75.4  32.0   -13.2   -7.4  29.4  60.7  8.3  -81.24887  28.39161 999.0 291.6 14333.6  0.7  0.3 99.0  1.2  0.9
 2160.0  146.2 -68.3 -76.2  31.2    -9.2   -3.7  19.3  68.1 10.7  -81.24982  28.39128 999.0 291.6 14440.4  1.2  0.2 99.0  0.8  0.9
 2170.0  143.7 -68.6 -76.5  30.9    -8.3   -4.5  18.4  61.4 10.1  -81.25066  28.39087 999.0 291.6 14541.2  0.5  0.1 99.0  1.9  0.9
 2180.0  141.6 -69.0 -76.9  30.8    -2.0    2.9   6.8 145.3  8.9  -81.25086  28.39113 999.0 291.6 14630.0  0.9  0.2 99.0  1.5  1.3
 2190.0  140.0 -69.4 -77.3  30.5    -7.8   -3.1  16.3  68.4  7.1  -81.25167  28.39085 999.0 291.6 14701.1  0.8  0.2 99.0  1.3  1.2
 2200.0  138.0 -70.1 -78.2  29.8    -7.8    1.4  15.4 100.5  8.4  -81.25247  28.39098 999.0 291.6 14784.7  0.5  0.3 99.0  1.3  2.3
 2210.0  136.6 -70.5 -78.4  29.8    -5.1    4.3  12.9 130.4  6.2  -81.25299  28.39137 999.0 291.6 14846.3  0.7  0.1 99.0  0.9  1.2
 2220.0  134.6 -70.7 -78.8  29.2    -8.3   -0.6  16.2  85.8  8.8  -81.25384  28.39131 999.0 291.6 14934.5  0.9  0.0 99.0  0.9  1.5
 2230.0  140.3 -69.2 -81.2  16.0    -4.3   -2.5   9.7  60.2 99.0  -81.25428  28.39110 999.0 291.6 99999.0  6.9  1.4 99.0  1.1  1.5
 2240.0  135.9 -68.9 -79.4  21.0    -0.5    0.6   1.5 141.6 99.0  -81.25433  28.39115 999.0 291.6 99999.0  8.0  0.8 99.0  1.3  3.7
 2250.0  999.0 999.0 899.1 999.0     1.6   -8.0  15.9 349.0 99.0  -81.25416  28.39043 999.0 291.6 99999.0 99.0 99.0 99.0  0.0  5.5
 2260.0  128.2 -68.9 -75.3  39.8     0.0   10.1  19.6 180.0  7.2  -81.25416  28.39133 999.0 291.6 15224.0  1.1  0.3 99.0  0.0  0.9
 2270.0  126.5 -68.3 -74.6  39.8     0.7    6.8  13.3 185.8  7.9  -81.25409  28.39194 999.0 291.6 15302.8  0.5  0.2 99.0  0.8  2.3
 2280.0  125.2 -67.7 -75.8  30.3    -1.2    1.6   4.0 143.5  6.3  -81.25422  28.39209 999.0 291.6 15366.1  0.6  0.3 99.0  0.7  1.1
 2290.0  122.1 -68.0 -75.9  31.4     3.4    3.9  10.0 221.0 15.1  -81.25388  28.39245 999.0 291.6 15517.1  3.6  0.8 99.0  2.1  1.1
 2300.0  123.1 -67.6 -76.1  28.6     2.2   -2.7   6.7 321.0 99.0  -81.25365  28.39220 999.0 291.6 99999.0  2.0  0.3 99.0  1.5  2.2
 2310.0  184.1 -62.4 999.0  -1.0     2.2   -2.1   5.8 313.3 99.0  -81.25343  28.39202 999.0 291.6 99999.0 99.0  9.3 99.0  0.8  1.8
 2320.0  119.9 -67.6 -76.1  29.0     5.2   -1.2  10.5 283.2  3.6  -81.25289  28.39191 999.0 291.6 15625.0  0.3  0.0 99.0  0.7  3.0
 2330.0  119.1 -67.7 -76.4  28.1     2.2   -5.2  10.8 337.3  4.1  -81.25268  28.39144 999.0 291.6 15666.0  1.0  0.2 99.0  1.1  1.9
 2340.0  117.5 -67.7 -76.4  27.7    -0.9   -2.1   4.4  23.2  8.0  -81.25276  28.39126 999.0 291.6 15745.9  0.3  0.1 99.0  1.1  0.6
 2350.0  116.2 -67.5 -76.4  27.0    -5.2   -6.2  15.7  40.3  6.6  -81.25330  28.39071 999.0 291.6 15812.2  0.4  0.0 99.0  1.0  1.2
 2360.0  115.0 -67.7 -76.6  27.0    -2.0   -2.3   5.9  41.6  6.3  -81.25350  28.39050 999.0 291.6 15875.5  0.4  0.1 99.0  0.7  0.8
 2370.0  113.8 -67.8 -76.9  26.1    -1.6    0.4   3.3 104.0  6.2  -81.25367  28.39054 999.0 291.6 15937.7  0.4  0.0 99.0  0.0  0.8
 2380.0  112.8 -68.1 -77.2  26.0    -0.3    1.4   2.9 166.4  5.6  -81.25370  28.39067 999.0 291.6 15993.8  0.4  0.1 99.0  0.7  0.8
 2390.0  111.7 -68.3 -77.6  25.0    -1.3    1.7   4.0 143.0  5.6  -81.25385  28.39082 999.0 291.6 16049.6  0.3  0.1 99.0  1.7  0.6
 2400.0  111.0 -68.3 -77.7  24.3    -3.1    0.2   6.0  93.9  4.2  -81.25414  28.39083 999.0 291.6 16091.5  0.4  0.5 99.0  0.9  0.6
 2410.0  108.7 -67.6 -74.3  38.0    -0.2  -10.1  19.6   0.9 12.6  -81.25417  28.38993 999.0 291.6 16217.4  1.8  0.3 99.0  1.9  8.2
 2420.0  999.0 999.0 899.1 999.0     3.9  -23.7  46.5 350.5 99.0  -81.25376  28.38780 999.0 291.6 99999.0 99.0 99.0 99.0  2.7 12.0
 2430.0  106.8 -68.4 -76.0  32.7   -15.7   32.1  69.3 153.9  5.1  -81.25537  28.39069 999.0 291.6 16318.7  0.1  0.4 99.0  4.5  5.5
 2440.0  106.0 -68.9 -78.8  23.0   -13.6    0.8  26.4  93.5  4.4  -81.25677  28.39076 999.0 291.6 16363.2  0.4  0.1 99.0  3.4  4.5
 2450.0  107.0 -68.9 -80.5  16.9    -6.7   -2.5  13.9  69.8 99.0  -81.25745  28.39054 999.0 291.6 99999.0  4.9  0.8 99.0  0.9  0.9
 2460.0   85.6 -73.8 -79.7  39.0    -3.5    1.0   7.0 106.5 99.0  -81.25779  28.39063 999.0 291.6 99999.0 19.0  4.3 99.0  1.2  1.5
 2470.0   72.7 -74.5 -78.3  54.6    -0.5    0.2   1.1 110.5 99.0  -81.25785  28.39065 999.0 291.6 99999.0 55.5  7.5 99.0  0.8  1.0
