Data Type/Direction:                       GLASS PROCESSED DATA, FileFormat 1/Ascending                                           
File Format/Version:                       EOL Sounding Format/1.0                                                                
Project Name/Platform:                     SoWMEX/TiMREX/NCAR GLASS                                                               
Launch Site:                               46692                                                                                  
Launch Location (lon,lat,alt):             121 26.04'E 121.434000, 25 00.00'N 25.000000,    11.00                                 
UTC Launch Time (y,m,d,h,m,s):             2008, 05, 21, 12:00:00                                                                 
Sonde Id/Sonde Type:                       970870/Meisei RS2-80                                                                   
Reference Launch Data Source/Time:         /unknown                                                                               
System Operator/Comments:                  /                                                                                      
Post Processing Comments:                  Aspen Version: humidity corrected with CDF day bias table and daytime heating corr:  0.000
/                                                                                                                                 
 Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSA
  sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m
------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- -----
  744.0 12 12 24.00  585.64    0.64    0.13   96.48    8.61   12.52   15.19  214.51    7.13  4582.16  121.452431   25.030676  -999.00
  748.0 12 12 28.00  583.55    0.40   -0.19   95.89    8.01   12.02   14.45  213.67    7.01  4610.86  121.452759   25.031120  -999.00
  753.0 12 12 33.00  581.05    0.13   -0.56   95.23    7.08   10.77   12.89  213.33    6.66  4645.45  121.453133   25.031633  -999.00
  757.0 12 12 37.00  579.16    0.02   -0.67   95.20    6.35    9.54   11.46  213.67    6.23  4671.50  121.453400   25.032001  -999.00
  761.0 12 12 41.00  577.41    0.03   -0.59   95.68    5.79    8.43   10.22  214.49    5.87  4695.78  121.453636   25.032326  -999.00
  766.0 12 12 46.00  575.41    0.08   -0.40   96.64    5.49    7.58    9.36  215.89    5.63  4723.65  121.453918   25.032686  -999.00
  770.0 12 12 50.00  573.85    0.07   -0.36   97.05    5.54    7.40    9.24  216.84    5.77  4745.47  121.454132   25.032957  -999.00
  774.0 12 12 54.00  572.16    0.00   -0.39   97.31    5.80    7.63    9.59  217.22    6.10  4769.18  121.454361   25.033228  -999.00
  779.0 12 12 59.00  569.87   -0.16   -0.57   97.32    6.31    8.45   10.55  216.75    6.47  4801.36  121.454659   25.033590  -999.00
  783.0 12 13  3.00  567.98   -0.31   -0.74   97.30    6.77    9.32   11.52  215.99    6.66  4828.01  121.454918   25.033913  -999.00
  788.0 12 13  8.00  565.60   -0.52   -0.98   97.30    7.26   10.36   12.65  215.01    6.69  4861.61  121.455269   25.034355  -999.00
