Data Type/Direction:                       GLASS PROCESSED DATA, FileFormat 1/Ascending                                           
File Format/Version:                       EOL Sounding Format/1.0                                                                
Project Name/Platform:                     SoWMEX/TiMREX/NCAR GLASS                                                               
Launch Site:                               46692                                                                                  
Launch Location (lon,lat,alt):             121 26.04'E 121.434000, 25 00.00'N 25.000000,    11.00                                 
UTC Launch Time (y,m,d,h,m,s):             2008, 05, 21, 12:00:00                                                                 
Sonde Id/Sonde Type:                       970870/Meisei RS2-80                                                                   
Reference Launch Data Source/Time:         /unknown                                                                               
System Operator/Comments:                  /                                                                                      
Post Processing Comments:                  Aspen Version: humidity corrected with CDF day bias table and daytime heating corr:  0.000
/                                                                                                                                 
 Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSA
  sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m
------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- -----
 1593.0 12 26 33.00  279.37  -34.87  -44.85   50.60   14.54   -4.88   15.34  288.55    7.03 10159.58  121.570808   25.072083  -999.00
 1597.0 12 26 37.00  278.27  -34.99  -44.22   54.93 -999.00 -999.00 -999.00 -999.00    6.93 10187.15 -999.000000 -999.000000  -999.00
 1602.0 12 26 42.00  276.93  -35.20  -44.19   56.38 -999.00 -999.00 -999.00 -999.00    7.00 10220.77 -999.000000 -999.000000  -999.00
 1606.0 12 26 46.00  275.79  -35.39  -44.37   56.46 -999.00 -999.00 -999.00 -999.00    7.10 10249.37 -999.000000 -999.000000  -999.00
 1610.0 12 26 50.00  274.63  -35.61  -44.67   55.98   19.60   -1.75   19.67  275.09    7.07 10278.80  121.573685   25.071573  -999.00
 1615.0 12 26 55.00  273.24  -35.91  -45.06   55.43   20.44   -1.57   20.50  274.38    6.92 10314.13  121.574677   25.071499  -999.00
 1619.0 12 26 59.00  272.19  -36.14  -45.59   53.70   20.63   -1.64   20.70  274.55    6.78 10340.88  121.575493   25.071440  -999.00
 1624.0 12 27  4.00  270.90  -36.41  -45.92   53.35   20.60   -1.64   20.67  274.55    6.85 10373.74  121.576515   25.071365  -999.00
 1628.0 12 27  8.00  269.81  -36.64  -46.18   53.15   20.62   -1.29   20.66  273.58    7.02 10401.78  121.577332   25.071314  -999.00
 1632.0 12 27 12.00  268.67  -36.88  -46.47   52.87   20.73   -0.63   20.74  271.75    7.06 10431.08  121.578148   25.071280  -999.00
 1637.0 12 27 17.00  267.27  -37.20  -46.97   51.85 -999.00 -999.00 -999.00 -999.00    7.03 10467.02 -999.000000 -999.000000  -999.00
 1641.0 12 27 21.00  266.22  -37.45  -47.74   48.92   20.81    0.91   20.83  267.51    7.02 10494.41  121.580002   25.071289  -999.00
 1646.0 12 27 26.00  264.91  -37.78  -48.81   44.95   20.47    1.36   20.52  266.21    7.39 10528.26  121.581024   25.071341  -999.00
 1650.0 12 27 30.00  263.74  -38.09  -49.95   40.89   19.89    1.50   19.94  265.70    7.91 10558.66  121.581825   25.071392  -999.00
 1654.0 12 27 34.00  262.46  -38.43  -51.14   37.00   18.98    1.47   19.03  265.58    8.16 10592.23  121.582596   25.071445  -999.00
 1659.0 12 27 39.00  260.85  -38.87  -52.64   32.62   17.69    1.35   17.74  265.65    7.94 10634.49  121.583504   25.071508  -999.00
 1663.0 12 27 43.00  259.67  -39.19  -53.68   29.89   16.91    1.35   16.96  265.44    7.28 10665.51  121.584190   25.071558  -999.00
 1667.0 12 27 47.00  258.65  -39.46  -54.48   28.01   16.64    1.55   16.72  264.66    6.70 10692.55  121.584854   25.071609  -999.00
 1672.0 12 27 52.00  257.48  -39.75  -55.26   26.36   16.98    1.92   17.08  263.53    6.47 10723.50  121.585693   25.071690  -999.00
 1676.0 12 27 56.00  256.52  -39.97  -55.49   26.26   17.59    2.07   17.71  263.29    6.68 10748.87  121.586372   25.071760  -999.00
 1681.0 12 28  1.00  255.18  -40.23  -55.63   26.60   18.56    1.85   18.65  264.30    7.21 10784.62  121.587273   25.071850  -999.00
 1685.0 12 28  5.00  254.04  -40.44  -55.41   28.00 -999.00 -999.00 -999.00 -999.00    7.45 10815.22 -999.000000 -999.000000  -999.00
 1689.0 12 28  9.00  252.93  -40.63  -55.36   28.78   20.17    1.36   20.22  266.14    7.62 10845.12  121.588806   25.071966  -999.00
 1694.0 12 28 14.00  251.53  -40.90  -55.25   30.10   20.98    1.54   21.04  265.79    7.79 10882.92  121.589828   25.072031  -999.00
 1698.0 12 28 18.00  250.36  -41.14  -55.33   30.64   21.41    1.89   21.49  264.96    7.90 10914.55  121.590668   25.072092  -999.00
 1703.0 12 28 23.00  248.90  -41.49  -55.51   31.20   21.56    2.30   21.68  263.90    7.95 10954.29  121.591728   25.072187  -999.00
 1707.0 12 28 27.00  247.74  -41.79  -55.71   31.53   21.28    2.45   21.42  263.43    7.87 10985.77  121.592583   25.072273  -999.00
 1711.0 12 28 31.00  246.60  -42.08  -55.92   31.80   20.59    2.33   20.72  263.53    7.64 11017.13  121.593407   25.072359  -999.00
 1716.0 12 28 36.00  245.23  -42.42  -56.13   32.23 -999.00 -999.00 -999.00 -999.00    7.08 11054.69 -999.000000 -999.000000  -999.00
 1720.0 12 28 40.00  244.24  -42.68  -56.28   32.60 -999.00 -999.00 -999.00 -999.00    6.51 11082.06 -999.000000 -999.000000  -999.00
 1724.0 12 28 44.00  243.35  -42.92  -56.44   32.90   15.60   -0.12   15.60  270.42    5.94 11106.78  121.595741   25.072491  -999.00
 1729.0 12 28 49.00  242.34  -43.18  -56.54   33.50   14.12   -0.87   14.15  273.52    5.56 11134.69  121.596481   25.072468  -999.00
 1733.0 12 28 53.00  241.57  -43.35  -56.70   33.53   13.70   -1.07   13.74  274.46    5.55 11156.16  121.597031   25.072433  -999.00
 1738.0 12 28 58.00  240.56  -43.52  -56.74   34.01   13.95   -1.21   14.01  274.97    5.84 11184.20  121.597717   25.072382  -999.00
 1742.0 12 29  2.00  239.69  -43.68  -56.93   33.87 -999.00 -999.00 -999.00 -999.00    6.09 11208.72 -999.000000 -999.000000  -999.00
 1746.0 12 29  6.00  238.79  -43.85  -57.05   34.05 -999.00 -999.00 -999.00 -999.00    6.20 11234.01 -999.000000 -999.000000  -999.00
 1751.0 12 29 11.00  237.68  -44.10  -57.27   34.13   17.26   -2.73   17.48  278.97    6.16 11265.12  121.599724   25.072151  -999.00
 1755.0 12 29 15.00  236.83  -44.31  -57.43   34.29   18.84   -2.74   19.04  278.27    6.02 11289.28  121.600441   25.072052  -999.00
 1759.0 12 29 19.00  235.99  -44.51  -57.69   34.02 -999.00 -999.00 -999.00 -999.00    5.90 11312.89 -999.000000 -999.000000  -999.00
 1764.0 12 29 24.00  234.97  -44.75  -57.88   34.16 -999.00 -999.00 -999.00 -999.00    5.79 11342.05 -999.000000 -999.000000  -999.00
 1768.0 12 29 28.00  234.16  -44.94  -58.07   34.15 -999.00 -999.00 -999.00 -999.00    5.73 11365.10 -999.000000 -999.000000  -999.00
 1773.0 12 29 33.00  233.16  -45.17  -58.31   34.05 -999.00 -999.00 -999.00 -999.00    5.68 11393.50 -999.000000 -999.000000  -999.00
 1777.0 12 29 37.00  232.37  -45.36  -58.51   33.95   23.88    1.26   23.91  266.99    5.66 11416.22  121.605103   25.071905  -999.00
 1781.0 12 29 41.00  231.58  -45.53  -58.70   33.85   21.95    0.84   21.97  267.81    5.61 11438.99  121.606010   25.071941  -999.00
 1786.0 12 29 46.00  230.60  -45.73  -58.91   33.75   18.30   -0.44   18.31  271.38    5.54 11467.04  121.607002   25.071951  -999.00
 1790.0 12 29 50.00  229.84  -45.87  -59.06   33.69   15.31   -1.52   15.38  275.68    5.52 11489.10  121.607674   25.071917  -999.00
 1795.0 12 29 55.00  228.89  -46.07  -59.27   33.59   12.53   -2.32   12.74  280.51    5.66 11516.61  121.608360   25.071829  -999.00
 1799.0 12 29 59.00  228.11  -46.24  -59.45   33.51 -999.00 -999.00 -999.00 -999.00    5.95 11539.38 -999.000000 -999.000000  -999.00
 1803.0 12 30  3.00  227.28  -46.43  -59.66   33.42 -999.00 -999.00 -999.00 -999.00    6.31 11563.55 -999.000000 -999.000000  -999.00
 1808.0 12 30  8.00  226.16  -46.70  -59.94   33.29 -999.00 -999.00 -999.00 -999.00    6.75 11596.46 -999.000000 -999.000000  -999.00
 1812.0 12 30 12.00  225.20  -46.93  -60.19   33.18 -999.00 -999.00 -999.00 -999.00    6.86 11624.38 -999.000000 -999.000000  -999.00
 1816.0 12 30 16.00  224.25  -47.18  -60.45   33.06 -999.00 -999.00 -999.00 -999.00    6.76 11652.41 -999.000000 -999.000000  -999.00
 1821.0 12 30 21.00  223.14  -47.48  -60.77   32.92 -999.00 -999.00 -999.00 -999.00    6.37 11685.40 -999.000000 -999.000000  -999.00
 1825.0 12 30 25.00  222.33  -47.71  -61.02   32.81 -999.00 -999.00 -999.00 -999.00    6.09 11709.38 -999.000000 -999.000000  -999.00
 1830.0 12 30 30.00  221.34  -47.99  -61.31   32.68 -999.00 -999.00 -999.00 -999.00    5.90 11738.82 -999.000000 -999.000000  -999.00
 1834.0 12 30 34.00  220.54  -48.20  -61.53   32.58 -999.00 -999.00 -999.00 -999.00    5.80 11762.69 -999.000000 -999.000000  -999.00
 1838.0 12 30 38.00  219.75  -48.42  -61.77   32.47 -999.00 -999.00 -999.00 -999.00    5.72 11786.14 -999.000000 -999.000000  -999.00
 1843.0 12 30 43.00  218.81  -48.69  -62.05   32.34   19.66    3.35   19.94  260.32    5.63 11814.35  121.616020   25.072052  -999.00
 1847.0 12 30 47.00  218.08  -48.91  -62.29   32.24   20.10    3.15   20.35  261.10    5.63 11836.26  121.616806   25.072170  -999.00
 1852.0 12 30 52.00  217.14  -49.20  -62.59   32.10   20.54    2.65   20.71  262.66    5.71 11864.64  121.617813   25.072300  -999.00
 1856.0 12 30 56.00  216.36  -49.43  -62.84   31.99 -999.00 -999.00 -999.00 -999.00    5.73 11888.27 -999.000000 -999.000000  -999.00
 1860.0 12 31  0.00  215.60  -49.65  -63.07   31.88 -999.00 -999.00 -999.00 -999.00    5.71 11911.17 -999.000000 -999.000000  -999.00
 1865.0 12 31  5.00  214.68  -49.91  -63.34   31.76 -999.00 -999.00 -999.00 -999.00    5.76 11939.11 -999.000000 -999.000000  -999.00
 1869.0 12 31  9.00  213.92  -50.11  -63.54   31.73   24.57    2.01   24.65  265.31    5.82 11962.32  121.621613   25.072659  -999.00
 1873.0 12 31 13.00  213.15  -50.32  -63.73   31.74   26.18    2.98   26.34  263.49    5.88 11986.04  121.622620   25.072748  -999.00
 1878.0 12 31 18.00  212.18  -50.59  -63.98   31.77 -999.00 -999.00 -999.00 -999.00    5.91 12015.59 -999.000000 -999.000000  -999.00
 1882.0 12 31 22.00  211.43  -50.80  -64.18   31.78 -999.00 -999.00 -999.00 -999.00    5.88 12038.90 -999.000000 -999.000000  -999.00
 1887.0 12 31 27.00  210.48  -51.06  -64.42   31.80 -999.00 -999.00 -999.00 -999.00    5.79 12067.95 -999.000000 -999.000000  -999.00
 1891.0 12 31 31.00  209.72  -51.26  -64.60   31.82   33.22   10.27   34.77  252.83    5.63 12091.59  121.627914   25.073826  -999.00
 1895.0 12 31 35.00  208.99  -51.47  -64.79   31.84   33.73   11.26   35.56  251.55    5.36 12114.26  121.629242   25.074215  -999.00
 1900.0 12 31 40.00  208.17  -51.74  -65.04   31.86 -999.00 -999.00 -999.00 -999.00    5.18 12139.61 -999.000000 -999.000000  -999.00
 1904.0 12 31 44.00  207.53  -51.95  -65.24   31.88 -999.00 -999.00 -999.00 -999.00    5.27 12159.72 -999.000000 -999.000000  -999.00
 1909.0 12 31 49.00  206.66  -52.21  -65.48   31.90 -999.00 -999.00 -999.00 -999.00    5.61 12186.90 -999.000000 -999.000000  -999.00
 1913.0 12 31 53.00  205.91  -52.41  -65.66   31.92 -999.00 -999.00 -999.00 -999.00    5.98 12210.19 -999.000000 -999.000000  -999.00
 1917.0 12 31 57.00  205.13  -52.61  -65.84   31.93   30.13    8.28   31.25  254.63    6.33 12234.84  121.636208   25.076155  -999.00
 1922.0 12 32  2.00  204.09  -52.89  -66.10   31.96   29.35    6.09   29.97  258.28    6.60 12267.53  121.637680   25.076479  -999.00
 1926.0 12 32  6.00  203.24  -53.12  -66.31   31.97   28.80    4.29   29.11  261.52    6.65 12294.41  121.638832   25.076666  -999.00
 1930.0 12 32 10.00  202.40  -53.36  -66.54   31.99   28.12    2.83   28.27  264.26    6.59 12321.11  121.639961   25.076796  -999.00
 1935.0 12 32 15.00  201.39  -53.67  -66.82   32.02   26.94    1.88   27.01  266.02    6.41 12353.43  121.641327   25.076900  -999.00
 1939.0 12 32 19.00  200.61  -53.93  -67.06   32.04   25.93    1.84   26.00  265.94    6.31 12378.40  121.642372   25.076967  -999.00
 1944.0 12 32 24.00  199.64  -54.24  -67.35   32.07   24.99    2.60   25.13  264.05    6.20 12409.29  121.643639   25.077068  -999.00
 1948.0 12 32 28.00  198.86  -54.48  -67.57   32.09   24.73    3.73   25.01  261.42    6.08 12434.26  121.644623   25.077183  -999.00
 1952.0 12 32 32.00  198.09  -54.71  -67.78   32.10 -999.00 -999.00 -999.00 -999.00    5.85 12459.29 -999.000000 -999.000000  -999.00
 1957.0 12 32 37.00  197.20  -54.99  -68.03   32.14 -999.00 -999.00 -999.00 -999.00    5.48 12487.98 -999.000000 -999.000000  -999.00
 1961.0 12 32 41.00  196.56  -55.19  -68.21   32.16 -999.00 -999.00 -999.00 -999.00    5.50 12508.68 -999.000000 -999.000000  -999.00
 1966.0 12 32 46.00  195.73  -55.42  -68.42   32.19 -999.00 -999.00 -999.00 -999.00    6.06 12535.67 -999.000000 -999.000000  -999.00
 1970.0 12 32 50.00  194.95  -55.59  -68.58   32.20 -999.00 -999.00 -999.00 -999.00    6.94 12561.11 -999.000000 -999.000000  -999.00
 1974.0 12 32 54.00  194.02  -55.75  -68.75   32.13 -999.00 -999.00 -999.00 -999.00    7.75 12591.62 -999.000000 -999.000000  -999.00
 1979.0 12 32 59.00  192.75  -55.97  -69.01   31.87 -999.00 -999.00 -999.00 -999.00    8.26 12633.26 -999.000000 -999.000000  -999.00
 1983.0 12 33  3.00  191.75  -56.18  -69.12   32.27 -999.00 -999.00 -999.00 -999.00    8.26 12666.56 -999.000000 -999.000000  -999.00
 1987.0 12 33  7.00  190.77  -56.42  -69.40   32.03   35.74   10.82   37.34  253.15    7.97 12699.10  121.656311   25.079744  -999.00
 1992.0 12 33 12.00  189.60  -56.76  -69.73   31.94   37.03   10.55   38.50  254.09    7.57 12737.95  121.658112   25.080229  -999.00
 1996.0 12 33 16.00  188.73  -57.03  -69.98   31.96 -999.00 -999.00 -999.00 -999.00    7.37 12767.25 -999.000000 -999.000000  -999.00
 2001.0 12 33 21.00  187.65  -57.39  -70.31   31.99 -999.00 -999.00 -999.00 -999.00    7.46 12803.45 -999.000000 -999.000000  -999.00
 2005.0 12 33 25.00  186.75  -57.69  -70.59   32.03 -999.00 -999.00 -999.00 -999.00    7.76 12833.67 -999.000000 -999.000000  -999.00
 2009.0 12 33 29.00  185.81  -57.98  -70.85   32.04 -999.00 -999.00 -999.00 -999.00    8.20 12865.48 -999.000000 -999.000000  -999.00
 2014.0 12 33 34.00  184.57  -58.36  -71.20   32.07 -999.00 -999.00 -999.00 -999.00    8.60 12907.59 -999.000000 -999.000000  -999.00
 2018.0 12 33 38.00  183.54  -58.68  -71.50   32.08 -999.00 -999.00 -999.00 -999.00    8.68 12942.84 -999.000000 -999.000000  -999.00
 2022.0 12 33 42.00  182.52  -59.00  -71.79   32.10 -999.00 -999.00 -999.00 -999.00    8.38 12977.91 -999.000000 -999.000000  -999.00
 2027.0 12 33 47.00  181.34  -59.37  -72.13   32.12 -999.00 -999.00 -999.00 -999.00    7.64 13018.56 -999.000000 -999.000000  -999.00
 2031.0 12 33 51.00  180.50  -59.65  -72.39   32.14 -999.00 -999.00 -999.00 -999.00    6.87 13047.36 -999.000000 -999.000000  -999.00
 2036.0 12 33 56.00  179.59  -59.97  -72.69   32.16 -999.00 -999.00 -999.00 -999.00    6.19 13078.89 -999.000000 -999.000000  -999.00
 2040.0 12 34  0.00  178.92  -60.20  -72.90   32.17 -999.00 -999.00 -999.00 -999.00    5.90 13102.29 -999.000000 -999.000000  -999.00
 2044.0 12 34  4.00  178.26  -60.40  -73.08   32.19 -999.00 -999.00 -999.00 -999.00    5.78 13125.44 -999.000000 -999.000000  -999.00
 2049.0 12 34  9.00  177.41  -60.62  -73.28   32.20 -999.00 -999.00 -999.00 -999.00    5.65 13155.05 -999.000000 -999.000000  -999.00
 2053.0 12 34 13.00  176.76  -60.77  -73.42   32.21 -999.00 -999.00 -999.00 -999.00    5.40 13177.94 -999.000000 -999.000000  -999.00
 2058.0 12 34 18.00  176.02  -60.94  -73.58   32.22 -999.00 -999.00 -999.00 -999.00    5.13 13203.90 -999.000000 -999.000000  -999.00
 2062.0 12 34 22.00  175.47  -61.07  -73.70   32.22   38.74   -3.30   38.88  274.86    5.04 13223.56  121.684402   25.082521  -999.00
 2066.0 12 34 26.00  174.91  -61.21  -73.83   32.23   37.32   -3.33   37.47  275.10    5.15 13243.37  121.685905   25.082401  -999.00
 2071.0 12 34 31.00  174.17  -61.39  -73.99   32.24   35.15   -3.49   35.33  275.68    5.45 13269.69  121.687706   25.082247  -999.00
 2075.0 12 34 35.00  173.53  -61.56  -74.15   32.25   33.06   -3.88   33.29  276.70    5.63 13292.37  121.689056   25.082113  -999.00
 2079.0 12 34 39.00  172.87  -61.75  -74.32   32.26 -999.00 -999.00 -999.00 -999.00    5.67 13316.06 -999.000000 -999.000000  -999.00
 2084.0 12 34 44.00  172.08  -62.00  -74.55   32.28 -999.00 -999.00 -999.00 -999.00    5.50 13344.24 -999.000000 -999.000000  -999.00
 2088.0 12 34 48.00  171.51  -62.19  -74.73   32.29   24.23   -7.54   25.38  287.28    5.47 13364.94  121.692749   25.081444  -999.00
 2093.0 12 34 53.00  170.76  -62.45  -74.96   32.31   20.67   -9.75   22.86  295.25    5.61 13391.86  121.693855   25.081055  -999.00
 2097.0 12 34 57.00  170.12  -62.67  -75.17   32.32   18.38  -11.52   21.69  302.09    5.76 13415.12  121.694633   25.080669  -999.00
 2101.0 12 35  1.00  169.45  -62.90  -75.38   32.33   16.83  -13.08   21.31  307.85    5.84 13439.31  121.695328   25.080227  -999.00
 2106.0 12 35  6.00  168.64  -63.15  -75.61   32.35   16.06  -14.35   21.54  311.79    5.73 13468.69  121.696144   25.079607  -999.00
 2110.0 12 35 10.00  168.04  -63.34  -75.78   32.36   16.46  -14.56   21.98  311.50    5.73 13490.72  121.696793   25.079084  -999.00
 2115.0 12 35 15.00  167.26  -63.60  -76.02   32.37   18.14  -13.74   22.75  307.14    5.97 13519.17  121.697647   25.078445  -999.00
 2119.0 12 35 19.00  166.59  -63.82  -76.22   32.39   20.13  -12.46   23.67  301.76    6.34 13543.75  121.698410   25.077972  -999.00
 2123.0 12 35 23.00  165.88  -64.05  -76.43   32.40   22.45  -10.87   24.94  295.84    6.73 13569.85  121.699249   25.077551  -999.00
 2128.0 12 35 28.00  164.94  -64.35  -76.71   32.42 -999.00 -999.00 -999.00 -999.00    7.00 13604.69 -999.000000 -999.000000  -999.00
 2132.0 12 35 32.00  164.16  -64.58  -76.92   32.43 -999.00 -999.00 -999.00 -999.00    6.96 13633.76 -999.000000 -999.000000  -999.00
 2136.0 12 35 36.00  163.42  -64.80  -77.12   32.44   29.52   -6.38   30.21  282.20    6.70 13661.34  121.702599   25.076538  -999.00
 2141.0 12 35 41.00  162.58  -65.06  -77.36   32.46   31.16   -5.86   31.70  280.66    6.49 13692.79  121.704102   25.076263  -999.00
 2145.0 12 35 45.00  161.89  -65.24  -77.52   32.47   31.92   -5.90   32.46  280.47    6.42 13718.43  121.705353   25.076050  -999.00
 2150.0 12 35 50.00  161.03  -65.47  -77.73   32.48 -999.00 -999.00 -999.00 -999.00    6.30 13751.09 -999.000000 -999.000000  -999.00
 2154.0 12 35 54.00  160.37  -65.65  -77.90   32.49   31.83   -7.02   32.59  282.43    6.17 13776.01  121.708199   25.075525  -999.00
 2158.0 12 35 58.00  159.73  -65.84  -78.07   32.50   30.90   -7.94   31.90  284.40    6.01 13800.14  121.709442   25.075256  -999.00
 2163.0 12 36  3.00  158.95  -66.06  -78.27   32.52   28.91   -9.42   30.40  288.04    5.85 13829.87  121.710922   25.074863  -999.00
 2167.0 12 36  7.00  158.34  -66.25  -78.45   32.53 -999.00 -999.00 -999.00 -999.00    5.77 13853.12 -999.000000 -999.000000  -999.00
 2171.0 12 36 11.00  157.74  -66.44  -78.62   32.54 -999.00 -999.00 -999.00 -999.00    5.76 13876.01 -999.000000 -999.000000  -999.00
 2176.0 12 36 16.00  156.99  -66.66  -78.82   32.55   22.28  -12.00   25.30  298.32    5.85 13904.89  121.714218   25.073606  -999.00
 2180.0 12 36 20.00  156.38  -66.84  -78.99   32.56   20.61  -11.91   23.81  300.02    6.02 13928.67  121.715073   25.073175  -999.00
 2185.0 12 36 25.00  155.58  -67.05  -79.18   32.57   18.93  -11.65   22.23  301.61    6.33 13959.64  121.716049   25.072643  -999.00
 2189.0 12 36 29.00  154.91  -67.21  -79.33   32.58   17.93  -11.58   21.34  302.85    6.65 13985.39  121.716782   25.072224  -999.00
 2193.0 12 36 33.00  154.22  -67.37  -79.47   32.59 -999.00 -999.00 -999.00 -999.00    7.05 14012.36 -999.000000 -999.000000  -999.00
 2198.0 12 36 38.00  153.29  -67.61  -79.69   32.61 -999.00 -999.00 -999.00 -999.00    7.58 14048.98 -999.000000 -999.000000  -999.00
 2202.0 12 36 42.00  152.49  -67.83  -79.89   32.62 -999.00 -999.00 -999.00 -999.00    7.90 14080.27 -999.000000 -999.000000  -999.00
 2207.0 12 36 47.00  151.47  -68.13  -80.17   32.64 -999.00 -999.00 -999.00 -999.00    8.06 14120.41 -999.000000 -999.000000  -999.00
 2211.0 12 36 51.00  150.66  -68.37  -80.39   32.65 -999.00 -999.00 -999.00 -999.00    7.96 14152.62 -999.000000 -999.000000  -999.00
 2215.0 12 36 55.00  149.87  -68.61  -80.60   32.67 -999.00 -999.00 -999.00 -999.00    7.64 14184.18 -999.000000 -999.000000  -999.00
 2220.0 12 37  0.00  148.95  -68.90  -80.87   32.68 -999.00 -999.00 -999.00 -999.00    7.01 14221.13 -999.000000 -999.000000  -999.00
 2224.0 12 37  4.00  148.28  -69.13  -81.08   32.70 -999.00 -999.00 -999.00 -999.00    6.43 14248.00 -999.000000 -999.000000  -999.00
 2228.0 12 37  8.00  147.67  -69.36  -81.29   32.71 -999.00 -999.00 -999.00 -999.00    5.90 14272.44 -999.000000 -999.000000  -999.00
 2233.0 12 37 13.00  146.98  -69.61  -81.52   32.73 -999.00 -999.00 -999.00 -999.00    5.49 14300.37 -999.000000 -999.000000  -999.00
 2237.0 12 37 17.00  146.46  -69.77  -81.66   32.73   31.90  -12.96   34.44  292.12    5.40 14321.68  121.728638   25.066908  -999.00
 2242.0 12 37 22.00  145.79  -69.95  -81.83   32.74   35.46  -12.45   37.58  289.34    5.53 14348.95  121.730301   25.066334  -999.00
 2246.0 12 37 26.00  145.23  -70.08  -81.95   32.75   37.10  -12.06   39.01  288.01    5.70 14371.80  121.731743   25.065891  -999.00
 2250.0 12 37 30.00  144.66  -70.21  -82.07   32.75   36.64  -11.88   38.52  287.97    5.91 14395.11  121.733200   25.065458  -999.00
 2255.0 12 37 35.00  143.93  -70.36  -82.20   32.75 -999.00 -999.00 -999.00 -999.00    6.21 14425.14 -999.000000 -999.000000  -999.00
 2259.0 12 37 39.00  143.32  -70.46  -82.30   32.75 -999.00 -999.00 -999.00 -999.00    6.44 14450.37 -999.000000 -999.000000  -999.00
 2263.0 12 37 43.00  142.69  -70.54  -82.37   32.75   23.12  -12.67   26.36  298.73    6.63 14476.63  121.737053   25.064018  -999.00
 2268.0 12 37 48.00  141.88  -70.63  -82.45   32.75   16.91  -13.27   21.49  308.13    6.68 14510.31  121.738045   25.063433  -999.00
 2272.0 12 37 52.00  141.24  -70.70  -82.52   32.75   13.05  -13.95   19.10  316.89    6.55 14536.99  121.738640   25.062941  -999.00
 2277.0 12 37 57.00  140.48  -70.80  -82.61   32.75   10.71  -15.15   18.55  324.74    6.22 14569.10  121.739227   25.062284  -999.00
 2281.0 12 38  1.00  139.90  -70.91  -82.71   32.75 -999.00 -999.00 -999.00 -999.00    5.91 14593.44 -999.000000 -999.000000  -999.00
 2285.0 12 38  5.00  139.36  -71.02  -82.81   32.75   12.00  -17.16   20.94  325.05    5.61 14616.40  121.740128   25.061117  -999.00
 2290.0 12 38 10.00  138.73  -71.18  -82.96   32.75   14.54  -17.72   22.92  320.63    5.42 14643.44  121.740784   25.060329  -999.00
 2294.0 12 38 14.00  138.23  -71.29  -83.06   32.75   17.00  -17.54   24.43  315.90    5.44 14664.81  121.741409   25.059692  -999.00
 2298.0 12 38 18.00  137.72  -71.37  -83.14   32.75 -999.00 -999.00 -999.00 -999.00    5.53 14686.64 -999.000000 -999.000000  -999.00
 2303.0 12 38 23.00  137.06  -71.44  -83.20   32.75 -999.00 -999.00 -999.00 -999.00    5.62 14714.82 -999.000000 -999.000000  -999.00
 2307.0 12 38 27.00  136.53  -71.47  -83.23   32.75 -999.00 -999.00 -999.00 -999.00    5.54 14737.66 -999.000000 -999.000000  -999.00
 2312.0 12 38 32.00  135.89  -71.49  -83.25   32.75   23.43  -12.19   26.41  297.48    5.29 14765.42  121.745018   25.057278  -999.00
 2316.0 12 38 36.00  135.42  -71.51  -83.26   32.75   20.21  -12.41   23.71  301.54    5.03 14785.77  121.745880   25.056833  -999.00
 2320.0 12 38 40.00  134.99  -71.56  -83.31   32.75   15.77  -13.43   20.72  310.42    4.92 14804.57  121.746597   25.056368  -999.00
 2325.0 12 38 45.00  134.43  -71.66  -83.40   32.75   10.74  -15.25   18.65  324.85    4.98 14829.05  121.747253   25.055719  -999.00
 2329.0 12 38 49.00  133.96  -71.75  -83.49   32.75 -999.00 -999.00 -999.00 -999.00    5.04 14849.84 -999.000000 -999.000000  -999.00
 2333.0 12 38 53.00  133.49  -71.84  -83.57   32.75    7.92  -17.87   19.55  336.09    5.07 14870.46  121.747993   25.054523  -999.00
 2338.0 12 38 58.00  132.92  -71.92  -83.64   32.75    9.21  -18.62   20.77  333.69    5.04 14895.55  121.748413   25.053699  -999.00
 2342.0 12 39  2.00  132.48  -71.95  -83.67   32.75   11.54  -18.50   21.80  328.03    5.06 14915.36  121.748825   25.053030  -999.00
 2347.0 12 39  7.00  131.91  -71.95  -83.67   32.75 -999.00 -999.00 -999.00 -999.00    5.18 14940.73 -999.000000 -999.000000  -999.00
 2351.0 12 39 11.00  131.44  -71.95  -83.67   32.75   19.01  -16.64   25.26  311.19    5.25 14961.76  121.750191   25.051601  -999.00
 2355.0 12 39 15.00  130.96  -71.95  -83.67   32.75   22.52  -15.47   27.32  304.49    5.26 14983.16  121.751015   25.051023  -999.00
 2360.0 12 39 20.00  130.38  -71.97  -83.69   32.75   26.72  -13.86   30.11  297.42    5.12 15009.49  121.752235   25.050362  -999.00
 2364.0 12 39 24.00  129.93  -72.02  -83.73   32.75   29.84  -12.51   32.35  292.74    4.99 15029.59  121.753357   25.049885  -999.00
 2369.0 12 39 29.00  129.40  -72.12  -83.83   32.75 -999.00 -999.00 -999.00 -999.00    4.90 15053.95 -999.000000 -999.000000  -999.00
 2373.0 12 39 33.00  128.97  -72.23  -83.93   32.75 -999.00 -999.00 -999.00 -999.00    4.98 15073.42 -999.000000 -999.000000  -999.00
